keyword,importance_value
java,15.071247279470297
programs,7.253887679764576
language,7.253887679764576
portable,5.690415759823427
basics,4.126943839882288
executed,4.126943839882288
applets,4.126943839882288
applications,4.126943839882288
com,2.563471919941143
garbage,2.563471919941143
need,2.563471919941143
declarations,2.563471919941143
1java,2.563471919941143
invoked,2.563471919941143
comments,2.563471919941143
2003,2.563471919941143
software,2.563471919941143
environments,2.563471919941143
xa9,2.563471919941143
compiler,2.563471919941143
semanticsportabilityjava,2.563471919941143
jguru,2.563471919941143
data,2.563471919941143
makes,2.563471919941143
include,2.563471919941143
limited,2.563471919941143
specified,2.563471919941143
string,2.563471919941143
basicstopics,2.563471919941143
longer,2.563471919941143
computer,2.563471919941143
effect,2.563471919941143
broad,2.563471919941143
details,2.563471919941143
expressions,2.563471919941143
version,2.563471919941143
andformats,2.563471919941143
leaves,2.563471919941143
defined,2.563471919941143
1996,2.563471919941143
implementor,2.563471919941143
sizes,2.563471919941143
robust,2.563471919941143
hardware,2.563471919941143
platform,2.563471919941143
contrast,2.563471919941143
serve,2.563471919941143
dynamic,2.563471919941143
portability,2.563471919941143
secure,2.563471919941143
collection,2.563471919941143
rights,2.563471919941143
section,2.563471919941143
library,2.563471919941143
structure,2.563471919941143
advantage,2.563471919941143
statements,2.563471919941143
make,2.563471919941143
completely,2.563471919941143
reserved,2.563471919941143
features,2.563471919941143
operating,2.563471919941143
particular,2.563471919941143
internet,2.563471919941143
giant,2.563471919941143
market,2.563471919941143
type,2.563471919941143
systems,2.563471919941143
